SAMPLE	VENT	SITE	Sample_or_Control	SAMPLETYPE	DEPTH	temp
Axial_BSW1500m_BSW1500m_2015	Deep seawater	Axial	Sample	Background	1520	2
Axial_AnemonePlume_AnemonePlume_2015	Anemone Plume	Axial	Sample	Plume	1500	NA
Axial_Anemone_FS891_2013	Anemone	Axial	Sample	Vent	1542	28.2
Axial_Boca_FS905_2013	Boca	Axial	Sample	Vent	1516.9	6.8
Axial_Dependable_FS900_2013	Dependable	Axial	Sample	Vent	1912.8	50
Axial_ElGuapo_FS896_2013	El Guapo	Axial	Sample	Vent	1502	25.7
Axial_Marker113_FS903_2013	Marker113	Axial	Sample	Vent	1520.3	24.8
Axial_Marker113_FS906_2014	Marker113	Axial	Sample	Vent	1518	24.3
Axial_Marker113_FS915_2015	Marker113	Axial	Sample	Vent	1520	25.4
Axial_Marker33_FS904_2013	Marker33	Axial	Sample	Vent	1516	27.3
Axial_Marker33_FS908_2014	Marker33	Axial	Sample	Vent	1514	18.5
Axial_N3Area_FS898_2013	N3Area	Axial	Sample	Vent	1523	18.9
Axial_Skadi_FS902_2013	Skadi	Axial	Sample	Vent	1561.6	35.6
Axial_Skadi_FS910_2014	Escargot	Axial	Sample	Vent	1517	6.6
51_AGAGAA_S13	labblank	control	Control	Control	NA	NA
64_CTRL_control_blank_shipboard_0_0_Jun2021	shipboard	control	Control	Control	NA	NA
75_CACCCT_S15	shipboard	control	Control	Control	NA	NA
GordaRidge_BSW020_sterivex_2019_REPa	Deep seawater	GordaRidge	Sample	Background	2010	1.8
GordaRidge_BSW056_sterivex_2019_REPb	Deep seawater	GordaRidge	Sample	Background	2010	1.8
GordaRidge_BSW081_sterivex_2019	Shallow seawater	GordaRidge	Sample	Background	150	8.6
GordaRidge_Plume001_sterivex_2019_REPa	Near vent BW	GordaRidge	Sample	Background	2745	1.7
GordaRidge_Plume001_sterivex_2019_REPb	Near vent BW	GordaRidge	Sample	Background	2745	1.7
GordaRidge_Plume001_T0_2019_REP12	Near vent BW	GordaRidge	Sample	Incubation	2745	NA
GordaRidge_Plume001_T0_2019_REP34	Near vent BW	GordaRidge	Sample	Incubation	2745	NA
GordaRidge_Plume001_T24_2019_REP12	Near vent BW	GordaRidge	Sample	Incubation	2745	NA
GordaRidge_Plume001_T36_2019_REP12	Near vent BW	GordaRidge	Sample	Incubation	2745	NA
GordaRidge_Vent013_T0_2019_REP13	Mt Edwards	GordaRidge	Sample	Incubation	2707	NA
GordaRidge_Vent013_T36_2019_REP12	Mt Edwards	GordaRidge	Sample	Incubation	2707	NA
GordaRidge_Vent013_T36_2019_REP34	Mt Edwards	GordaRidge	Sample	Incubation	2707	NA
GordaRidge_Vent043_T0_2019_REP13	Venti Latte	GordaRidge	Sample	Incubation	2708	NA
GordaRidge_Vent043_T36_2019_REP13	Venti Latte	GordaRidge	Sample	Incubation	2708	NA
GordaRidge_Vent090_T24_2019	Candelabra	GordaRidge	Sample	Incubation	2730	NA
GordaRidge_Vent110_T24_2019	Sir Ventsalot	GordaRidge	Sample	Incubation	2732	NA
GordaRidge_Plume036_sterivex_2019_REPb	Candelabra Plume	GordaRidge	Sample	Plume	2725	1.7
GordaRidge_Plume096_sterivex_2019	Mt Edwards Plume	GordaRidge	Sample	Plume	2707	1.8
GordaRidge_Vent009_SUPRS1_2019	Mt Edwards	GordaRidge	Sample	Vent	2707	40
GordaRidge_Vent010_SUPRS2_2019	Mt Edwards	GordaRidge	Sample	Vent	2707	40
GordaRidge_Vent011_SUPRS3_2019	Mt Edwards	GordaRidge	Sample	Vent	2707	40
GordaRidge_Vent039_SUPRS1_2019	Venti Latte	GordaRidge	Sample	Vent	2708	11
GordaRidge_Vent040_SUPRS2_2019	Venti Latte	GordaRidge	Sample	Vent	2708	11
GordaRidge_Vent041_SUPRS3_2019	Venti Latte	GordaRidge	Sample	Vent	2708	11
GordaRidge_Vent086_SUPRS1_2019	Candelabra	GordaRidge	Sample	Vent	2730	79
GordaRidge_Vent087_SUPRS2_2019	Candelabra	GordaRidge	Sample	Vent	2730	79
GordaRidge_Vent088_SUPRS3_2019	Candelabra	GordaRidge	Sample	Vent	2730	79
GordaRidge_Vent105_SUPRS9_2019	Sir Ventsalot	GordaRidge	Sample	Vent	2732	72
GordaRidge_Vent106_SUPRS10_2019	Sir Ventsalot	GordaRidge	Sample	Vent	2732	72
GordaRidge_Vent107_SUPRS11_2019	Sir Ventsalot	GordaRidge	Sample	Vent	2732	72
Axial_ExtractControl_CTRL_2019	Control	Laboratory	Control	Control	Control	NA
GordaRidge_Shipblank_CTRL_2019_S31	Control	Laboratory	Control	Control	Control	NA
GordaRidge_Shipblank_CTRL_2019_S32	Control	Laboratory	Control	Control	Control	NA
GordaRidge_Shipblank_CTRL_2019_S33	Control	Laboratory	Control	Control	Control	NA
62_TAACAC_S14	Quakeplume	Piccard	Sample	Background	4200	4.34
73_MCR_Piccard_CTD_BSW_CTD005_0_Jun2021	BSW	Piccard	Sample	Background	4776	4.46
52_MCR_Piccard_expTf_LotsOShrimp_A_0_Jun2021	LotsOShrimp	Piccard	Sample	Incubation	NA	NA
53_MCR_Piccard_expTf_LotsOShrimp_B_0_Jun2021	LotsOShrimp	Piccard	Sample	Incubation	NA	NA
